Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Argentina,2022,Malaria,Respiratory,17.49,13.57,1.97,19-35,Other,918812,59.27,3.2,7.7,Vaccination,14684,Yes,65.47,272,8.21,36145,0.47,55.5
France,2018,Ebola,Respiratory,9.07,1.93,2.39,36-60,Male,818694,54.6,2.77,7.39,Vaccination,27657,Yes,83.12,296,4.8,46673,0.6,75.16
Mexico,2018,HIV/AIDS,Respiratory,19.46,14.1,8.73,0-18,Male,939853,90.73,2.84,8.87,Therapy,26738,No,52.81,3303,4.13,12707,0.49,20.89
South Africa,2022,Cholera,Respiratory,14.91,4.27,2.79,61+,Female,353114,84.01,3.06,9.25,Medication,40316,Yes,95.94,507,4.93,70436,0.77,53.82
Russia,2017,Cholera,Respiratory,17.2,4.57,8.5,0-18,Male,895731,62.28,4.31,1.24,Surgery,40394,Yes,56.02,772,6.83,73876,0.58,87.11
India,2018,Dengue,Respiratory,13.05,15,3.37,0-18,Female,441658,91.87,2.24,7.72,Therapy,46315,Yes,98.5,4474,9.33,25295,0.79,69.27
Germany,2017,Rabies,Respiratory,18.74,7.77,9.92,0-18,Female,705415,81.03,1.43,7.64,Therapy,6769,No,60.24,1614,0.72,79637,0.71,71.76
Brazil,2021,Cancer,Respiratory,14.71,6.57,1.7,61+,Male,490151,82.8,1.56,1.58,Medication,3186,No,58.54,3190,0.59,44386,0.46,33.3
Argentina,2022,Measles,Respiratory,2.81,10.78,9.35,0-18,Other,773124,93.74,3.79,8.52,Surgery,44066,No,79.12,802,1.95,98913,0.42,58.06
China,2020,Parkinson's Disease,Respiratory,11.26,5.95,5.73,19-35,Male,82472,84.51,1.73,3.13,Surgery,43775,Yes,76.74,4392,7.51,19014,0.44,42.16
Saudi Arabia,2021,Influenza,Respiratory,0.86,4.26,5.01,36-60,Male,258071,58.54,4.13,5.3,Surgery,19972,No,81.17,4369,6.73,62231,0.8,35.85
Russia,2019,Cholera,Respiratory,13.72,7.15,2.27,36-60,Male,255273,85.73,1.36,1.07,Surgery,30462,Yes,72.77,4191,7.28,85475,0.88,34.5
Mexico,2022,Rabies,Respiratory,5.94,2.94,0.28,36-60,Other,298720,98.88,3.51,1.07,Therapy,46752,Yes,76,3454,5.06,13574,0.76,79.13
Saudi Arabia,2020,Zika,Respiratory,16.75,5.36,1.13,36-60,Other,546938,99.38,2.41,0.93,Therapy,10332,No,91.66,4265,5.48,20261,0.88,63.03
Brazil,2022,Ebola,Respiratory,0.98,7.05,2.17,0-18,Female,407649,67.76,4.85,7.31,Surgery,33782,Yes,78.44,1319,6.51,89483,0.53,83.76
Germany,2021,Hypertension,Respiratory,1.68,1.97,6.87,19-35,Female,3198,53.83,2.99,9.08,Therapy,17709,Yes,77.38,2599,0.81,10254,0.68,30.51
Mexico,2019,Measles,Respiratory,6.88,0.4,3.97,19-35,Female,168802,63.31,4.73,9.31,Medication,25123,No,96.25,961,7.46,96325,0.77,83.64
Australia,2017,Ebola,Respiratory,16.35,14.76,2.19,0-18,Male,752712,96.54,0.59,4.22,Medication,33935,No,59.65,4415,6.95,22583,0.85,63.44
UK,2020,Zika,Respiratory,18.99,6.24,1.96,61+,Female,494463,50.42,1.94,7.21,Vaccination,16430,No,84.2,3168,7.65,85297,0.86,89.77
Nigeria,2018,Hypertension,Respiratory,7.15,2.03,7.33,61+,Male,981013,70.34,3.58,7.68,Medication,10533,No,73.12,377,7.3,80659,0.88,29.49
Australia,2023,Asthma,Respiratory,17.16,14.58,1.23,19-35,Male,43518,70.35,0.99,8.98,Therapy,26156,Yes,59.36,2067,5.84,59700,0.58,28.13
Japan,2018,Cancer,Respiratory,18.11,7.13,2.1,61+,Other,808991,82.1,1.34,0.53,Therapy,23750,No,68.69,4850,6.3,70301,0.88,51.47
France,2023,Ebola,Respiratory,4.77,9.65,7.07,36-60,Female,749829,59.67,4.8,8.21,Medication,8192,No,93.83,1470,5.49,56474,0.58,23.43
Brazil,2018,Hepatitis,Respiratory,8.12,14.24,1.84,19-35,Female,509654,50.08,2.25,9.45,Medication,36121,Yes,84.56,3807,4.21,90325,0.49,20.02
Turkey,2019,Cancer,Respiratory,12.22,2.48,7.8,0-18,Male,179474,76.63,4.53,6.65,Medication,18138,Yes,68.46,1932,3.27,47942,0.89,89.05
Turkey,2020,Measles,Respiratory,17.82,5.56,6.67,0-18,Female,315933,78.69,0.88,5.5,Therapy,44447,No,86.61,3845,5.34,45864,0.73,28.36
Russia,2021,Asthma,Respiratory,5.39,10.09,4.54,61+,Female,193633,88.18,3.04,9.12,Therapy,21046,Yes,63.73,2701,1.87,25866,0.88,73.71
Argentina,2020,Cancer,Respiratory,14.31,9.23,9.97,36-60,Male,652935,57.16,2.18,4.57,Medication,8804,No,85.13,748,5.83,32962,0.71,73.09
Germany,2017,Polio,Respiratory,1.48,4.76,2.31,61+,Other,899082,93.73,3.85,4.8,Therapy,2802,No,72.77,3856,3.32,7986,0.5,49.94
Australia,2019,Asthma,Respiratory,17.56,5.91,3.08,61+,Female,607826,94.87,1.38,6.11,Therapy,38180,Yes,93.74,2942,7.63,90793,0.44,89.68
UK,2023,COVID-19,Respiratory,1.14,14.99,5.16,36-60,Female,476699,98.14,4.04,0.86,Surgery,17038,No,90.27,247,7.43,97564,0.65,71.28
South Korea,2022,HIV/AIDS,Respiratory,12.77,0.6,2.05,61+,Female,506028,70.4,1.42,8.35,Medication,12866,Yes,65.5,1229,5.96,1990,0.59,60.06
UK,2020,Ebola,Respiratory,6.76,9.67,8.82,19-35,Male,741431,61.54,3.28,8.76,Vaccination,1913,No,64.97,1350,8.66,86903,0.47,82.17
UK,2017,Cancer,Respiratory,15.03,11.58,2.6,61+,Other,939028,65.89,4.24,9.11,Vaccination,33079,No,58.2,819,5.68,891,0.52,40.97
Australia,2018,Malaria,Respiratory,4.15,0.58,8.95,19-35,Male,204753,67.75,2.88,0.82,Surgery,25551,Yes,65.3,3629,0.77,53659,0.42,88.57
Australia,2021,Hypertension,Respiratory,19.81,11.62,9.43,0-18,Other,71039,78.26,0.95,4.49,Medication,38143,Yes,85.32,1647,3.98,43632,0.88,71.71
South Africa,2021,COVID-19,Respiratory,15.07,12.86,9.87,0-18,Other,556326,56.25,4.82,4.38,Vaccination,23005,No,52.87,1298,2.97,66314,0.67,53.3
Mexico,2018,Ebola,Respiratory,4.01,12.69,5.58,19-35,Other,414646,61.73,3.4,3.93,Vaccination,40383,Yes,84.4,4763,3.02,99031,0.83,86.39
Mexico,2018,Hepatitis,Respiratory,1.05,9.71,1.57,19-35,Other,465806,89.84,4.94,7.41,Surgery,191,Yes,52.59,4002,8.01,71953,0.78,43.01
Brazil,2017,Alzheimer's Disease,Respiratory,19.93,8,6.12,61+,Other,848666,84.84,4.46,4.02,Surgery,27218,No,80.45,1052,7.96,38123,0.9,56.27
USA,2020,Tuberculosis,Respiratory,10.79,9.65,3.61,0-18,Male,483296,53.91,2.35,2.29,Therapy,44564,No,84.38,1768,9.5,10199,0.76,43.71
USA,2017,Hepatitis,Respiratory,4.54,4.4,7.51,0-18,Other,724244,92.4,3.89,6.12,Medication,36009,No,97.85,2087,1.68,92516,0.6,64.22
Brazil,2019,Ebola,Respiratory,15.66,5.64,6.68,61+,Other,335724,99.41,2.69,3.23,Surgery,43809,No,92.77,3330,8.96,63075,0.65,72.29
India,2020,Cholera,Respiratory,4.97,7.29,4.75,19-35,Other,795153,51.88,3.44,4.81,Surgery,13743,No,79.44,1292,5.02,36834,0.73,75.66
Argentina,2017,COVID-19,Respiratory,17.77,5.39,4.03,19-35,Female,263805,65.82,3.13,9.42,Medication,8019,Yes,57.3,2358,2.35,2881,0.58,77.36
Argentina,2018,Influenza,Respiratory,19.13,11.88,4.09,19-35,Female,649366,68.31,3.83,6.01,Therapy,48845,Yes,80.55,4853,3.8,66976,0.47,88.32
Germany,2017,Parkinson's Disease,Respiratory,1.39,11.58,7.8,61+,Other,614494,77.1,2.52,6.73,Surgery,37413,No,62.5,4494,6.83,29898,0.84,43.28
Turkey,2021,Measles,Respiratory,14.05,14.19,2,19-35,Male,448527,93.44,4.98,7.21,Therapy,49588,No,59.76,1433,6.7,50008,0.52,66.09
France,2018,Alzheimer's Disease,Respiratory,1.99,1.01,7.16,36-60,Male,928145,91.56,2.91,1.01,Surgery,15333,Yes,73.51,1714,2.37,14307,0.9,37.29
Nigeria,2017,Rabies,Respiratory,7.13,2.74,0.79,36-60,Male,77175,97.2,3.79,0.61,Therapy,14109,Yes,69.46,7,5.25,39775,0.6,50.26
France,2018,Leprosy,Respiratory,16.96,9.22,9.51,19-35,Male,45452,58.54,2.73,4.87,Therapy,9301,No,83.88,1690,2.83,25399,0.86,33.49
Turkey,2018,Cancer,Respiratory,1.15,0.68,8.82,0-18,Female,570182,81.34,3.37,5.69,Vaccination,31881,No,75.23,2453,7.06,37945,0.56,23.81
Argentina,2022,Dengue,Respiratory,15.96,13.38,1.42,36-60,Female,87943,80.27,1.65,9.85,Therapy,28902,Yes,62.01,2222,1.34,40328,0.45,24.29
UK,2023,Dengue,Respiratory,14.56,6.22,8.82,61+,Female,483485,62.22,3.91,6.62,Vaccination,32354,Yes,51.89,4253,8.16,65424,0.59,67.01
USA,2019,Asthma,Respiratory,13.59,2.28,1.61,36-60,Male,396097,91.66,1.06,0.56,Therapy,27272,Yes,58.83,718,0.62,60325,0.71,44.89
Russia,2022,COVID-19,Respiratory,19.65,0.65,2.3,0-18,Male,86129,50.91,4.01,0.92,Vaccination,32538,Yes,68.42,2063,0.49,88644,0.82,46.81
Brazil,2019,Malaria,Respiratory,10.17,10.29,2.25,0-18,Female,290058,61.28,4.89,3.47,Vaccination,44538,Yes,63.54,1069,4.7,30512,0.75,86.81
Russia,2021,Tuberculosis,Respiratory,17.02,12.7,1.18,61+,Male,859593,95,4.65,1.81,Vaccination,11434,No,79.48,4951,2.4,52874,0.73,25.93
Argentina,2017,Influenza,Respiratory,0.9,0.55,7.25,36-60,Other,51472,75.63,4.1,9.41,Therapy,44521,No,95.88,448,7.35,10032,0.68,61.94
India,2023,Hypertension,Respiratory,2.49,10.98,9.57,19-35,Other,142928,80.46,0.9,2.64,Vaccination,48688,Yes,76.8,1192,6.18,90512,0.53,82.18
South Africa,2023,Leprosy,Respiratory,9.34,8.67,7.58,61+,Female,604716,86.2,0.76,5.9,Medication,23056,Yes,65.29,977,0.56,16747,0.84,59.84
Brazil,2018,Alzheimer's Disease,Respiratory,5.95,3.19,5.65,19-35,Other,753878,64.61,2.13,7.11,Therapy,37777,No,79.01,1230,0.12,52166,0.4,82.49
Mexico,2018,Tuberculosis,Respiratory,5.68,7.57,3.4,0-18,Male,763335,76.52,1.06,4.41,Therapy,42817,No,54.17,1497,9.02,84418,0.87,21.74
Canada,2023,Zika,Respiratory,1.79,7.39,4.77,0-18,Other,235490,59.6,3.89,8.79,Therapy,20986,Yes,75.55,1687,2.31,42362,0.71,66.49
Brazil,2023,COVID-19,Respiratory,0.52,12.63,3.39,19-35,Female,487618,63.01,2.16,4.23,Therapy,40881,Yes,58.17,4072,4.89,30049,0.77,45.04
China,2022,COVID-19,Respiratory,19.84,7.34,3.05,19-35,Male,362403,50.15,3.52,4.57,Medication,31779,Yes,92.24,4298,4.68,93088,0.47,71.4
France,2020,Diabetes,Respiratory,17.3,1.52,3.44,61+,Female,257881,53.49,1.88,4.6,Vaccination,43969,No,56.07,4209,5.39,55883,0.65,89.24
South Korea,2018,Hypertension,Respiratory,15.71,4.78,6.07,19-35,Male,15282,56.57,2.66,1.3,Vaccination,18008,No,61.89,2778,3.86,86387,0.53,49.48
Indonesia,2023,Hepatitis,Respiratory,11.28,7.21,2.79,0-18,Female,652734,99.48,0.58,3.56,Therapy,45820,Yes,60.54,2119,6.74,87806,0.74,89.2
Japan,2017,Hypertension,Respiratory,16.49,4.03,0.6,36-60,Female,303101,99.55,1.7,8.35,Vaccination,30566,No,75.7,1392,8.22,82867,0.43,35.54
South Africa,2017,Malaria,Respiratory,4.03,6.1,6.63,61+,Other,465272,50.42,3.25,3.82,Therapy,7507,Yes,93.4,1823,1.69,36856,0.73,32.1
Saudi Arabia,2019,Leprosy,Respiratory,1.49,0.41,0.53,36-60,Other,606107,63.83,2.82,8.61,Vaccination,39533,No,68.56,3146,8.91,63222,0.79,22.48
Italy,2019,Asthma,Respiratory,2.1,3.4,7.83,19-35,Female,940519,71.57,4.44,1.52,Therapy,23963,No,51.59,2152,8.36,60166,0.77,50.07
China,2021,Dengue,Respiratory,2.4,4.06,2.35,61+,Female,823256,56.17,1.83,9.59,Medication,20325,No,52.89,4240,3.18,7198,0.73,56.21
Italy,2018,Dengue,Respiratory,13.43,1.53,3.7,0-18,Female,861271,71.49,2.81,2.81,Vaccination,11206,No,96.86,692,1.15,87630,0.42,74.39
Turkey,2020,Measles,Respiratory,5.25,8.4,6.94,36-60,Female,610756,50.86,2.31,8.79,Surgery,10917,No,96.94,4710,6.15,16834,0.48,40.64
USA,2021,Alzheimer's Disease,Respiratory,19.72,14.49,8.93,36-60,Male,261762,70.93,3.68,6.28,Medication,28215,Yes,98.85,56,5.72,23901,0.66,33.25
France,2019,Measles,Respiratory,1.73,10.41,9.41,61+,Male,438924,94.44,2.16,1.77,Therapy,21956,No,74.47,1728,6.88,26311,0.53,79.94
Australia,2019,Asthma,Respiratory,13.71,13.26,8.22,61+,Male,973053,83.84,3.57,9.29,Medication,25709,No,86.85,3018,0.79,96312,0.56,64.6
Nigeria,2023,Influenza,Respiratory,11.31,6.66,6.04,36-60,Female,300605,63.43,0.52,4.12,Medication,40272,No,65.22,3635,3.98,46433,0.43,22.63
Japan,2017,Malaria,Respiratory,8.12,5.67,0.9,19-35,Male,963668,58.11,4.12,3.45,Medication,32759,Yes,54.24,3536,8.95,88901,0.89,47.4
Argentina,2021,Cancer,Respiratory,4.97,10.82,0.38,19-35,Male,749789,51.21,1.91,3.94,Surgery,49505,Yes,68.12,3311,6.84,2506,0.86,40.56
Brazil,2018,Alzheimer's Disease,Respiratory,16.72,9.77,6.5,0-18,Male,244705,50.54,2.59,2.63,Surgery,28677,No,65.6,4392,1.32,5145,0.52,35.86
Australia,2018,Asthma,Respiratory,15.3,6.22,1.52,0-18,Other,39007,82.92,4.3,1.28,Therapy,15330,Yes,53.55,856,3.16,12817,0.49,53.66
Japan,2022,Malaria,Respiratory,4.6,0.43,1.79,36-60,Other,518035,52.99,3.91,2.27,Medication,46359,No,96.29,1611,3.59,27855,0.61,35.64
Italy,2018,Diabetes,Respiratory,0.93,7.28,0.36,36-60,Female,343766,76.54,2.5,5.67,Therapy,23431,Yes,64.91,1663,2.88,43889,0.5,71.91
Nigeria,2018,Dengue,Respiratory,0.99,8.93,9.24,0-18,Other,821119,57.53,3.45,7.08,Medication,28844,Yes,51.88,3571,1.7,30996,0.45,71.26
Italy,2018,Ebola,Respiratory,12.36,7.76,7.95,19-35,Female,878688,60.63,4.94,5.82,Vaccination,40687,No,54.4,4089,0.63,68814,0.4,23.9
China,2022,Cancer,Respiratory,3.49,3.83,3.13,61+,Female,453117,63.97,4.18,4.84,Therapy,6575,Yes,87.09,369,4.25,82808,0.72,52.76
Indonesia,2023,Ebola,Respiratory,7.41,11.75,0.31,0-18,Female,528440,82.35,0.57,7.39,Vaccination,42818,No,52.83,4757,3.78,21589,0.57,26.86
China,2021,Measles,Respiratory,11.09,13.04,3.57,0-18,Female,244834,66.66,4.47,7.07,Therapy,42283,No,93.88,4971,3.11,56318,0.71,46.99
Germany,2021,Leprosy,Respiratory,2.08,1.74,5.19,19-35,Female,473072,82.15,4.11,9.71,Therapy,7145,Yes,77.22,1080,2.11,98864,0.51,80.37
Argentina,2018,Tuberculosis,Respiratory,10.62,0.93,6.77,19-35,Male,246763,51.9,4.39,1.14,Vaccination,8410,Yes,72.79,150,8.87,60407,0.42,21.44
Australia,2019,Alzheimer's Disease,Respiratory,12.83,3.1,0.56,0-18,Other,174052,92.21,0.53,8,Surgery,35585,No,88.65,3228,0.88,93635,0.55,70.99
Russia,2019,Polio,Respiratory,11.24,4.8,5.21,36-60,Female,605319,53.61,2.5,9.93,Medication,17481,Yes,83.92,1812,9.99,40411,0.46,22.92
Canada,2023,Cholera,Respiratory,8.78,1.64,0.55,61+,Male,35118,72.1,4.3,6.25,Therapy,40449,No,50.78,3528,5.11,73963,0.67,41.76
Australia,2017,Malaria,Respiratory,6.88,9.32,7.41,61+,Other,274801,86.33,2.51,5.08,Medication,5048,No,51.69,2769,6.98,31715,0.49,54.26
Canada,2021,Asthma,Respiratory,2.5,1.17,9.78,19-35,Female,161831,78.98,3.51,5.35,Therapy,20571,No,68.02,1855,1.54,6701,0.56,45.01
China,2021,Dengue,Respiratory,9.32,2.94,7.42,61+,Male,41895,59.32,3.78,5.56,Vaccination,44902,No,64.06,2818,5.54,78192,0.61,52.17
Australia,2019,Dengue,Respiratory,11.77,1.36,7.17,19-35,Male,990251,89.31,2.97,2,Therapy,5379,Yes,66.7,3204,2.64,89776,0.6,30.22
USA,2021,Diabetes,Respiratory,16.49,12.64,7.45,0-18,Other,362839,79.48,1.35,3.59,Therapy,28883,Yes,67.53,3,0.18,18991,0.72,38.89
India,2021,Parkinson's Disease,Respiratory,0.34,12.07,5.54,19-35,Female,39902,82.57,4.7,3.87,Surgery,44190,No,58,2765,3.9,72541,0.73,58.39
Nigeria,2022,Parkinson's Disease,Respiratory,15.85,3.44,8.58,36-60,Other,181213,89.59,1.8,7.26,Vaccination,5526,Yes,80.97,1199,3.45,14270,0.6,78.16
Canada,2018,Asthma,Respiratory,18.04,3.87,4.79,61+,Female,351651,69.96,1.81,8.66,Surgery,12734,No,54.01,3185,1.48,90525,0.7,23.99
South Africa,2021,Leprosy,Respiratory,13.09,1.28,2.75,36-60,Male,824700,78.19,4.27,2.27,Surgery,4880,No,78.79,3577,2.79,48667,0.41,25.19
Japan,2022,Measles,Respiratory,0.94,10.33,5.61,61+,Other,975105,54.72,1.13,9.41,Medication,6431,No,80.87,4695,7.34,11527,0.67,36.15
Russia,2018,Parkinson's Disease,Respiratory,5.73,10.56,7.21,19-35,Male,613812,61.33,1.07,3.31,Medication,29788,Yes,80.57,461,7.63,17155,0.6,61.59
Russia,2021,Dengue,Respiratory,7.11,5.94,2.01,0-18,Other,868361,88.98,4.16,0.59,Medication,25842,No,68.82,2301,3.54,41231,0.78,38.46
India,2023,Asthma,Respiratory,0.55,4.85,2.29,19-35,Other,631833,56.04,4.97,8.14,Surgery,19535,No,84,2612,5.72,16403,0.58,27.28
Italy,2023,Cholera,Respiratory,14.88,12.88,4.61,19-35,Other,292931,78.73,4.28,6.81,Vaccination,22083,Yes,98.75,345,6.67,17901,0.78,43.53
Turkey,2018,Diabetes,Respiratory,10,6.98,3.18,0-18,Other,196191,60.27,3.44,6.76,Surgery,7899,No,81.56,2199,0.23,78106,0.58,64.25
Japan,2018,Measles,Respiratory,3.15,4.24,5.95,36-60,Male,592007,60.65,1.62,8.89,Medication,1680,No,70.02,1985,8.66,31882,0.42,23.77
USA,2020,Diabetes,Respiratory,2.86,0.75,9.66,36-60,Male,377313,74.34,1.9,0.64,Medication,36864,No,86.2,4676,2.21,20640,0.53,52.41
Indonesia,2021,Alzheimer's Disease,Respiratory,10.74,1.43,4.85,61+,Female,729143,66.49,2.36,1.62,Medication,26081,No,65.23,2901,2.85,30960,0.85,71.38
Turkey,2022,Hypertension,Respiratory,11.75,3.36,2.92,0-18,Female,986417,69.94,3.22,3.32,Surgery,24690,No,57.35,3928,4.56,92525,0.57,88.49
South Korea,2018,Cancer,Respiratory,15.09,10.5,0.77,19-35,Male,973857,74.56,4.07,5.7,Medication,8944,No,77.78,396,7.17,69462,0.53,75.3
China,2019,Dengue,Respiratory,1.34,13.7,3.33,19-35,Male,382515,95.31,1.68,6.92,Surgery,45681,No,91.37,490,3.83,49551,0.66,68.36
China,2023,Tuberculosis,Respiratory,7.6,3.39,9.46,19-35,Female,145792,91.03,2.75,1.19,Medication,45662,Yes,65.16,1796,4.9,49236,0.54,43.66
Saudi Arabia,2018,Dengue,Respiratory,17.14,4.55,4.45,19-35,Other,901636,50.04,4.47,3.46,Surgery,33628,Yes,61.3,1100,3.64,57586,0.51,37.38
Australia,2019,Diabetes,Respiratory,14.91,7.39,8.29,0-18,Female,490405,85.96,1.52,5.74,Vaccination,17005,Yes,83.57,624,8.94,19928,0.74,87.44
India,2021,Measles,Respiratory,8.6,1.35,5.24,0-18,Other,719294,73.52,2.03,2.18,Surgery,5333,No,61.97,1155,7.33,52236,0.61,71.12
Saudi Arabia,2017,Zika,Respiratory,11.82,10.74,8.33,61+,Male,185410,57.71,1.01,8.73,Surgery,43771,Yes,83.43,1846,8.66,66407,0.77,33.12
South Korea,2022,Parkinson's Disease,Respiratory,13.68,14.67,5.62,0-18,Male,94161,62.1,4.34,7.59,Vaccination,43474,No,77.92,343,9.94,82137,0.75,64.44
Mexico,2022,Leprosy,Respiratory,19.49,3.8,0.86,36-60,Female,254653,75.84,2.92,1.62,Vaccination,9290,Yes,91.33,408,8.2,6836,0.83,22.06
South Korea,2020,Ebola,Respiratory,15.46,13.91,9.12,36-60,Other,249268,50.47,2.24,3.34,Vaccination,38886,Yes,94.44,2578,8.5,30489,0.84,20.2
Italy,2020,Polio,Respiratory,6.7,0.29,7.24,61+,Male,48445,98.45,0.63,9.52,Therapy,8676,No,63.08,4120,5.08,25510,0.79,46.98
Germany,2017,Cholera,Respiratory,9.77,0.62,0.87,0-18,Other,808008,52.85,4.29,2.34,Therapy,36628,Yes,63.04,1712,0.52,40838,0.68,67.87
China,2022,Rabies,Respiratory,0.17,2.88,9.26,0-18,Other,220401,77.21,2.32,3.35,Surgery,15673,Yes,51.81,499,4.16,46821,0.5,42.03
Russia,2022,Ebola,Respiratory,18.48,13.8,3.7,61+,Male,855235,52.12,4.48,5.97,Medication,35081,No,94.04,3806,2.86,12180,0.67,44.8
USA,2019,Zika,Respiratory,10.2,1.04,9.93,0-18,Male,10507,95.27,1.66,9.59,Vaccination,32654,No,90.2,4390,6.67,15546,0.82,57
India,2020,Influenza,Respiratory,14.12,11.57,3.71,0-18,Female,477999,92.85,0.65,9.99,Vaccination,33248,Yes,89.26,1092,5.8,66789,0.84,80.09
Australia,2018,Hypertension,Respiratory,18.77,10.54,9.81,19-35,Other,238175,77.95,3.08,6.89,Therapy,1571,Yes,92.96,4338,9.02,94586,0.8,66.82
Indonesia,2022,Cancer,Respiratory,3.24,10.52,8.64,19-35,Female,164147,75.75,4.43,5.16,Therapy,48141,No,93.76,813,7.8,17275,0.89,64.92
Japan,2018,Dengue,Respiratory,4.7,3.01,7.84,0-18,Other,206552,57.49,1.1,9.46,Surgery,3952,No,52.85,556,9.38,60757,0.78,20.24
South Africa,2023,Cholera,Respiratory,13.78,0.48,5.81,36-60,Male,743945,70.99,1.48,9.45,Vaccination,42194,No,78.98,241,6.12,2344,0.89,20.29
Germany,2020,Asthma,Respiratory,11.99,12.78,3.91,61+,Female,963613,68.85,4.44,1.27,Surgery,9117,No,92.53,815,6.72,47376,0.49,26.47
Japan,2022,Tuberculosis,Respiratory,12.12,1.26,1.45,61+,Female,469609,90.73,4.2,2.33,Surgery,44229,No,97.01,77,9.27,80447,0.8,41.44
India,2018,Rabies,Respiratory,17.44,13.96,8.72,61+,Female,580952,63.63,1.38,3.27,Vaccination,16841,No,79.12,1013,6.93,19465,0.44,56.71
Turkey,2018,Rabies,Respiratory,15.21,4.63,8.07,36-60,Male,961364,67.8,1.2,2.93,Vaccination,29357,No,77.71,4376,4.7,31941,0.62,59.97
Australia,2023,Cancer,Respiratory,2.54,8.62,4.29,61+,Male,245457,81.36,4.16,8.19,Medication,3830,No,91.48,3695,4.33,28447,0.77,39.76
India,2017,Tuberculosis,Respiratory,17.69,1.74,2.16,36-60,Female,933817,70.95,4.28,4.69,Therapy,12221,Yes,75.66,4330,8.61,99218,0.42,83.92
Germany,2017,Dengue,Respiratory,1.32,9.63,6.13,61+,Other,242741,99.26,4.63,6.1,Medication,17506,No,89.3,2194,6.17,8512,0.68,60.68
Canada,2020,Parkinson's Disease,Respiratory,1.68,1.23,3.01,19-35,Male,987216,66.7,3.36,3.11,Surgery,7073,Yes,69.54,3553,2.68,61496,0.69,62.26
Canada,2022,Zika,Respiratory,12.46,6.43,0.36,0-18,Other,70329,75.9,2.13,3.09,Vaccination,48965,Yes,76.96,1375,5.69,97665,0.87,54.52
Nigeria,2020,Cancer,Respiratory,6.2,12.73,9.58,0-18,Male,200743,86.86,0.98,4.51,Vaccination,10052,No,53.62,4436,0.01,92083,0.4,54.99
USA,2022,Parkinson's Disease,Respiratory,14.61,11.42,1.16,36-60,Other,176587,82.11,3.63,9.15,Medication,46802,No,68.85,1010,7.5,48700,0.51,70.51
India,2021,Alzheimer's Disease,Respiratory,3.3,10.71,1.77,36-60,Female,710102,53.7,2.91,3.16,Surgery,12425,Yes,59.72,2264,4.46,24868,0.87,53.01
UK,2017,Measles,Respiratory,8.66,13.73,8.63,19-35,Male,822814,78.95,3.23,0.8,Surgery,16794,Yes,62.92,601,3.6,58198,0.73,43.4
France,2020,Diabetes,Respiratory,18,1.73,9.17,36-60,Other,52607,98.29,4.01,8.76,Vaccination,38073,No,77.5,1936,3.11,71467,0.54,27.85
Mexico,2019,Polio,Respiratory,13.58,9.53,0.88,36-60,Male,504015,79.09,1.33,1.43,Surgery,21850,Yes,89.84,3900,0.56,84965,0.53,42.72
Turkey,2018,Hepatitis,Respiratory,18.34,13.64,9.03,61+,Male,725611,94.92,2.67,5.55,Medication,24998,No,86.31,2694,8.76,36336,0.63,88.5
France,2021,Dengue,Respiratory,6.09,8.02,7.48,19-35,Male,321573,98.92,0.7,2.28,Therapy,31528,No,90.8,3021,7.9,89431,0.79,68.21
Turkey,2022,Parkinson's Disease,Respiratory,5.69,11.12,9.4,61+,Female,548205,58.44,1.11,6.7,Therapy,28127,Yes,50.02,3687,6.72,28854,0.54,52.82
China,2017,Parkinson's Disease,Respiratory,15.86,8.78,6.68,0-18,Male,282206,63.82,4.77,2.58,Medication,47983,Yes,56.98,392,3.01,58500,0.69,63
Mexico,2017,Measles,Respiratory,12.24,4.35,2.52,0-18,Other,123197,70.13,1.23,9.6,Medication,42296,No,72.81,2498,0.02,54753,0.88,44.37
Italy,2023,Parkinson's Disease,Respiratory,12.43,7.33,7.7,19-35,Other,830846,77.11,4.88,6.92,Medication,40707,Yes,81.43,4697,6.57,69423,0.88,85.89
Saudi Arabia,2023,Tuberculosis,Respiratory,3.85,13.37,5.84,36-60,Female,351323,88.58,3.22,9.7,Vaccination,35330,Yes,86.16,4784,1.49,16691,0.54,78.05
Indonesia,2023,Diabetes,Respiratory,8.8,1.73,4.28,61+,Other,509204,50.5,1.58,9.45,Vaccination,28828,Yes,98.68,24,2.98,92035,0.5,79.66
Italy,2022,Diabetes,Respiratory,6.79,13.45,1.62,36-60,Male,592155,95.26,2.7,9.11,Medication,34860,Yes,83.32,78,3.83,63285,0.42,83.63
France,2017,Measles,Respiratory,7.11,12.11,7.84,61+,Male,30711,89.55,0.74,9.27,Medication,36591,No,98.63,1300,1.05,49009,0.68,46.38
Australia,2020,Zika,Respiratory,3.95,5.6,0.93,36-60,Other,296342,58.44,2.86,1.72,Surgery,41699,No,77.42,4146,7.35,55444,0.87,72.77
